website,name,price,rating,discount,link
Jumia,No name found,"EGP 18,140.00",No rating found,17%,https://www.jumia.com.eg/x9c-5g-6.78-inch-12gb256gb-dual-sim-mobile-phone-titanium-black-honor-mpg3818146.html
Jumia,No name found,"EGP 2,699.00",No rating found,No discount found,https://www.jumia.com.eg/soundcore-c30i-open-ear-clip-earbuds-white-121870986.html
Jumia,No name found,"EGP 6,270.00",No rating found,18%,https://www.jumia.com.eg/poco-c75-6.8-256gb8gb-dual-sim-4g-mobile-phone-black-xiaomi-mpg3818373.html
Jumia,No name found,EGP 739.90,No rating found,63%,https://www.jumia.com.eg/wo-x10-ultra-3-curved-super-amoled-smart-watch-fullscreen-49mm2.2inch-orange-112885538.html
Jumia,No name found,"EGP 5,700.00",No rating found,15%,https://www.jumia.com.eg/infinix-hot-50i-6.7-inch-dual-sim-mobile-phone-4g-256gb8gb8gb-sage-green-130966933.html
Jumia,No name found,EGP 285.00,No rating found,5%,https://www.jumia.com.eg/havit-uc25w-pd-type-c-wall-charger-fast-charger-25w-black-with-high-speed-charger-for-samsung-25watt.-compatible-with-samsung-smartphones-iphones-tablets-and-other-usb-c-pd-enabled-devices.-52047216.html
Jumia,No name found,"EGP 1,789.00",No rating found,40%,https://www.jumia.com.eg/haino-teko-smart-watche-rw-50-smart-watch-premium-features-with-3-strap-options-124015387.html
Jumia,No name found,"EGP 20,499.00",No rating found,31%,https://www.jumia.com.eg/200-6.7-256gb12gb-dual-sim-5g-mobile-phone-moonlight-white-honor-mpg3818103.html
Jumia,No name found,"EGP 32,899.00",No rating found,30%,https://www.jumia.com.eg/apple-iphone-13-128gb-face-id-midnight-official-warranty-129516341.html
Jumia,No name found,EGP 220.00,No rating found,67%,https://www.jumia.com.eg/generic-p9-wireless-headsets-bluetooth-for-ios-android-phone-whitesilver-114991503.html
Jumia,No name found,"EGP 11,399.00",No rating found,29%,https://www.jumia.com.eg/honor-x8c-dual-sim-4g-smartphone-256gb-storage-8gb-ram-midnight-black-130935851.html
Jumia,No name found,"EGP 1,850.00",No rating found,No discount found,https://www.jumia.com.eg/samsung-galaxy-s22-ultra-s-view-flip-cover-protective-phone-case-tap-control-cutting-edge-design-us-version-white-30862796.html
